10	79
110	2048
210	4446
310	7150
410	9953
510	12843
610	15880
710	18989
810	22128
910	25249
1010	28526
1110	31830
1210	35182
1310	38495
1410	42018
1510	45439
1610	48890
1710	52326
1810	55792
1910	59372
2010	62853
2110	66400
2210	70007
2310	73611
2410	77386
2510	81047
2610	84750
2710	88411
2810	92309
2910	95949
3010	99694
3110	103379
3210	107178
3310	110962
3410	114710
3510	118536
3610	122326
3710	126026
3810	129855
3910	133732
4010	137372
4110	141288
4210	145207
4310	149027
4410	153042
4510	157042
4610	160907
4710	165012
4810	168988
4910	172877
5010	176910
5110	180859
5210	184919
5310	189021
5410	192826
5510	196847
5610	200925
5710	205123
5810	209132
5910	213237
6010	217231
6110	221213
6210	225297
6310	229264
6410	233345
6510	237345
6610	241504
6710	245690
6810	249630
6910	253732
7010	257666
7110	261669
7210	266002
7310	269951
7410	274044
7510	278341
7610	282125
7710	286434
7810	290530
7910	294626
8010	298836
8110	302866
8210	307040
8310	311298
8410	315574
8510	319730
8610	323955
8710	328267
8810	332465
8910	336609
9010	340930
9110	344951
9210	349350
9310	353752
9410	357887
9510	362178
9610	366640
9710	370784
9810	374904
9910	379393
